Index,network,μ,β,p
91,Erdos-Renyi_500_1500.net,0.5,0.78,0.6617752808988763
92,Erdos-Renyi_500_350.net,0.1,0.9,0.702988764044944
93,Erdos-Renyi_500_1500.net,0.5,0.82,0.6612584269662919
94,Erdos-Renyi_500_350.net,0.1,0.92,0.7053932584269667
95,Erdos-Renyi_500_1500.net,0.5,0.86,0.6606966292134829
96,Erdos-Renyi_500_350.net,0.1,0.94,0.7014382022471912
97,Erdos-Renyi_500_1500.net,0.5,0.9,0.6625842696629212
98,Erdos-Renyi_500_350.net,0.1,0.96,0.7068314606741576
99,Erdos-Renyi_500_1500.net,0.5,0.94,0.6634382022471912
100,Erdos-Renyi_500_350.net,0.1,0.98,0.7087640449438205
101,Erdos-Renyi_500_1500.net,0.5,0.98,0.6631685393258429
102,Erdos-Renyi_500_350.net,0.1,1.0,0.7084269662921351
103,Erdos-Renyi_500_1500.net,0.9,0.0,0.00026966292134831464
104,Erdos-Renyi_500_350.net,0.5,0.0,0.0023820224719101127
105,Erdos-Renyi_500_1500.net,0.9,0.04,0.18561797752808992
106,Erdos-Renyi_500_350.net,0.5,0.02,0.05298876404494382
107,Erdos-Renyi_500_1500.net,0.9,0.08,0.29053932584269654
108,Erdos-Renyi_500_350.net,0.5,0.04,0.0918202247191011
109,Erdos-Renyi_500_1500.net,0.9,0.12,0.3550112359550562
110,Erdos-Renyi_500_350.net,0.5,0.06,0.13074157303370784
111,Erdos-Renyi_500_1500.net,0.9,0.16,0.399685393258427
112,Erdos-Renyi_500_350.net,0.5,0.08,0.1632808988764045
113,Erdos-Renyi_500_1500.net,0.9,0.2,0.429505617977528
114,Erdos-Renyi_500_350.net,0.5,0.1,0.1915955056179776
115,Erdos-Renyi_500_1500.net,0.9,0.24,0.453438202247191
116,Erdos-Renyi_500_350.net,0.5,0.12,0.21134831460674167
117,Erdos-Renyi_500_1500.net,0.9,0.28,0.46889887640449435
118,Erdos-Renyi_500_350.net,0.5,0.14,0.23844943820224723
119,Erdos-Renyi_500_1500.net,0.9,0.32,0.4831235955056178
120,Erdos-Renyi_500_350.net,0.5,0.16,0.25719101123595517
121,Erdos-Renyi_500_1500.net,0.9,0.36,0.4916853932584268
122,Erdos-Renyi_500_350.net,0.5,0.18,0.2734606741573034
123,Erdos-Renyi_500_1500.net,0.9,0.4,0.5001348314606743
124,Erdos-Renyi_500_350.net,0.5,0.2,0.29399999999999993
125,Erdos-Renyi_500_1500.net,0.9,0.44,0.5049662921348318
126,Erdos-Renyi_500_350.net,0.5,0.22,0.3058876404494382
127,Erdos-Renyi_500_1500.net,0.9,0.48,0.5092359550561796
128,Erdos-Renyi_500_350.net,0.5,0.24,0.3156629213483145
129,Erdos-Renyi_500_1500.net,0.9,0.52,0.5131910112359549
130,Erdos-Renyi_500_350.net,0.5,0.26,0.33525842696629227
131,Erdos-Renyi_500_1500.net,0.9,0.56,0.5151235955056181
132,Erdos-Renyi_500_350.net,0.5,0.28,0.3442921348314605
133,Erdos-Renyi_500_1500.net,0.9,0.6,0.5169213483146067
134,Erdos-Renyi_500_350.net,0.5,0.3,0.35465168539325836
135,Erdos-Renyi_500_1500.net,0.9,0.64,0.5191460674157302
136,Erdos-Renyi_500_350.net,0.5,0.32,0.362561797752809
137,Erdos-Renyi_500_1500.net,0.9,0.68,0.5197303370786519
138,Erdos-Renyi_500_350.net,0.5,0.34,0.3755955056179775
139,Erdos-Renyi_500_1500.net,0.9,0.72,0.521303370786517
140,Erdos-Renyi_500_350.net,0.5,0.36,0.38112359550561786
141,Erdos-Renyi_500_1500.net,0.9,0.76,0.5223595505617975
142,Erdos-Renyi_500_350.net,0.5,0.38,0.3933707865168538
143,Erdos-Renyi_500_1500.net,0.9,0.8,0.5217977528089889
144,Erdos-Renyi_500_350.net,0.5,0.4,0.3993258426966292
145,Erdos-Renyi_500_1500.net,0.9,0.84,0.5226292134831461
146,Erdos-Renyi_500_350.net,0.5,0.42,0.41026966292134837
147,Erdos-Renyi_500_1500.net,0.9,0.88,0.5231910112359551
