Index,Degree,Strength,ASPL,LSPL,Clust Coeff,Betweeness,Eigenvector,PageRank
NGS,10.0,44043.0,3.69339231,1.0,0.51111111,0.00026973,0.00467963,0.00031276
NGX,1.0,38.0,5.5463091,1.0,0.0,0.0,4.22e-6,0.00011993
NHA,3.0,1908.0,4.38512579,1.0,1.0,0.0,0.00037289,0.00014852
NHV,3.0,436.5,4.51672657,1.0,0.66666667,8.0e-8,9.134e-5,0.00020192
NIB,1.0,25.0,5.21260713,1.0,0.0,0.0,5.05e-6,0.00010795
NIM,13.0,3650.0,3.61459773,1.0,0.46153846,0.00010916,0.00737567,0.00035412
NIX,2.0,96.0,4.64694498,1.0,1.0,0.0,0.00012765,0.00012299
NJC,6.0,2838.0,3.87614045,1.0,0.73333333,1.8e-7,0.00352843,0.00017542
NKC,10.0,3523.0,3.67182748,1.0,0.37777778,0.00123666,0.00649371,0.00035253
NKG,32.0,34597.5,3.75062206,1.0,0.47580645,0.00012591,0.00541592,0.0006583
NKI,2.0,16.0,4.96488803,1.0,1.0,0.0,2.154e-5,0.00019596
NKN,2.0,38.0,6.73292784,1.0,0.0,6.4e-7,1.0e-8,0.00021183
NKY,1.0,576.0,6.39673763,1.0,0.0,0.0,3.8e-7,0.00011797
NLA,7.0,932.0,4.00884711,1.0,0.23809524,0.00208964,0.00106417,0.00042705
NLD,2.0,1656.0,4.14293613,1.0,1.0,0.0,0.00127117,8.535e-5
NLF,2.0,99.0,5.45977329,1.0,1.0,0.0,1.6e-6,0.00016688
NLG,2.0,32.0,5.21205419,1.0,0.0,0.00055294,5.22e-6,0.00023525
NLK,3.0,1258.0,4.12690075,1.0,1.0,0.0,0.0006821,0.00014889
NLP,2.0,1176.0,4.01299419,1.0,1.0,0.0,0.00103797,0.00010369
NLS,2.0,5.0,6.3472491,1.0,0.0,0.0002046,7.0e-8,0.00022049
NLV,2.0,288.0,3.79458114,1.0,1.0,0.0,0.00397919,8.474e-5
NMA,2.0,1392.0,4.19823058,1.0,1.0,0.0,0.00076446,9.975e-5
NME,3.0,180.0,6.19463644,1.0,0.0,2.3e-7,2.8e-7,0.00025352
NMG,2.0,57.0,4.37821399,1.0,1.0,0.0,0.00038774,0.00012547
NNB,1.0,19.0,6.28393696,1.0,0.0,0.0,8.0e-8,0.00012039
NNG,16.0,16458.5,3.75642798,1.0,0.78333333,1.233e-5,0.00391782,0.00035011
NNL,2.0,24.0,5.21454244,1.0,1.0,0.0,5.04e-6,0.00019809
NNM,2.0,568.0,4.87088748,1.0,0.0,0.00055294,5.489e-5,0.00018898
NNT,2.0,726.0,4.66298037,1.0,0.0,4.6e-7,9.236e-5,0.00012421
NNX,1.0,171.0,5.90406414,1.0,0.0,0.0,4.8e-7,0.00010608
NNY,3.0,725.0,4.31490185,1.0,0.66666667,3.0e-8,0.00040539,0.00010412
NOB,2.0,63.0,4.56345037,1.0,1.0,0.0,0.00031236,0.00013281
NOC,2.0,1587.0,3.63118607,1.0,1.0,0.0,0.00522107,7.633e-5
NOJ,2.0,200.0,4.80591651,1.0,0.0,3.0e-8,0.00017978,9.379e-5
NOS,7.0,1415.0,4.4288084,1.0,0.38095238,0.00085226,0.00027063,0.00034181
NOU,17.0,10865.0,3.63395079,1.0,0.22058824,0.00637424,0.00314981,0.00085569
NOZ,2.0,1720.0,3.87752281,1.0,1.0,0.0,0.0021895,8.792e-5
NPE,4.0,3876.0,4.24965441,1.0,1.0,0.0,0.00030438,0.00018957
NPL,3.0,2473.0,4.2507603,1.0,1.0,0.0,0.00022989,0.00015441
NQN,10.0,8597.5,4.09842411,1.0,0.33333333,0.00015204,0.00079882,0.00045397
NQT,12.0,12512.0,3.54686204,1.0,0.59090909,1.982e-5,0.01672793,0.00026841
NQU,1.0,95.0,4.9950235,1.0,0.0,0.0,5.629e-5,7.966e-5
NQY,2.0,1750.0,3.63505668,1.0,1.0,0.0,0.00364187,8.588e-5
NRA,2.0,958.0,4.23500138,1.0,1.0,0.0,0.00029561,0.00012318
NRK,4.0,4189.0,3.89770528,1.0,0.66666667,7.84e-6,0.00349009,0.00015538
NRL,3.0,96.0,5.57727398,1.0,0.66666667,8.0e-8,6.84e-6,0.00019805
NSK,11.0,5692.0,3.87282278,1.0,0.30909091,0.00111623,0.00385077,0.00036631
NSN,6.0,6788.5,4.24910147,1.0,0.73333333,4.0e-7,0.00031272,0.00027315
NSO,1.0,96.0,6.23306608,1.0,0.0,0.0,9.0e-8,0.00014318
NST,1.0,1341.0,3.9582527,1.0,0.0,0.0,0.0011726,6.697e-5
NTE,20.0,22532.5,3.54603262,1.0,0.46315789,9.69e-5,0.01764739,0.00045043
NTG,3.0,1426.0,3.9532762,1.0,1.0,0.0,0.00156851,0.0001005
NTL,9.0,6121.0,4.16311861,1.0,0.55555556,1.097e-5,0.00068417,0.00039429
NTN,2.0,297.0,4.46474979,1.0,1.0,0.0,8.991e-5,0.00014591
NTO,2.0,95.0,5.30660769,1.0,1.0,0.0,2.067e-5,0.00013561
NTT,1.0,19.0,5.9283937,1.0,0.0,0.0,5.7e-7,0.0001082
NTY,3.0,924.0,4.00829417,1.0,0.66666667,5.0e-7,0.00122832,0.00014977
NUB,2.0,61.5,5.43572021,1.0,0.0,0.00045279,2.56e-6,0.00018292
NUE,41.0,40470.5,3.47332043,1.0,0.5402439,0.00010068,0.05031493,0.00074544
NUI,2.0,249.0,5.20071883,1.0,0.0,2.0e-7,1.082e-5,0.0001523
NUL,5.0,538.0,4.8935582,1.0,0.6,2.964e-5,3.224e-5,0.00028937
NUP,2.0,132.0,6.19574233,1.0,0.0,8.0e-8,1.8e-7,0.00020219
NUS,7.0,342.0,5.07271219,1.0,0.42857143,3.16e-6,1.974e-5,0.00043098
NUX,5.0,1325.0,3.87641692,1.0,0.5,3.0e-7,0.00241993,0.00016587
NVA,5.0,3779.5,4.26403096,1.0,0.3,0.00108783,0.00055628,0.00029706
NVK,2.0,1147.0,5.27453691,1.0,1.0,0.0,2.12e-5,0.00013624
NVT,5.0,12911.0,4.09704175,1.0,0.8,1.0e-7,0.00104974,0.0002212
NWI,4.0,3054.0,3.71965717,1.0,1.0,0.0,0.00544643,0.00011842
NYC,179.0,1.5243495e6,2.70915123,1.0,0.15755445,0.06928349,0.1605246,0.00385891
NYK,3.0,315.0,4.39452585,1.0,0.33333333,0.00055294,0.00047878,0.00019962
NYM,3.0,584.0,3.87724634,1.0,0.66666667,3.0e-8,0.0022526,0.00011694
NYN,2.0,81.0,5.22919547,1.0,1.0,0.0,5.69e-6,0.0001658
NYU,4.0,5040.0,4.61266243,1.0,1.0,0.0,0.00010269,0.0002136
OAG,5.0,993.0,4.23196019,1.0,0.6,1.26e-6,0.00031199,0.00027448
OAJ,2.0,1240.0,4.15067736,1.0,1.0,0.0,0.00234012,7.726e-5
OAK,26.0,155563.5,3.41249654,1.0,0.56307692,0.00010879,0.02352342,0.00059345
OAX,7.0,10941.5,4.1412773,1.0,0.38095238,1.19e-6,0.0015661,0.00023507
OBI,2.0,54.0,5.89936411,1.0,0.0,0.00055294,2.12e-6,0.00020494
OBO,3.0,10170.0,3.77605751,1.0,0.66666667,1.0e-8,0.00266774,0.00011357
OBU,4.0,242.0,4.8855405,1.0,0.66666667,4.082e-5,3.152e-5,0.00024966
OCJ,2.0,285.0,4.2726016,1.0,1.0,0.0,0.00067849,0.00010782
ODS,15.0,6487.0,3.69560409,1.0,0.60952381,1.626e-5,0.01653316,0.00034509
ODW,3.0,540.0,3.97954106,1.0,1.0,0.0,0.00118466,0.00015191
ODY,2.0,200.0,4.9383467,1.0,1.0,0.0,3.046e-5,0.00013413
OER,1.0,2413.0,4.07271219,1.0,0.0,0.0,0.00153319,6.612e-5
OES,2.0,84.0,5.10118883,1.0,0.0,5.0e-8,2.427e-5,0.000131
OFK,1.0,247.0,5.18468344,1.0,0.0,0.0,2.252e-5,9.38e-5
OFU,2.0,234.0,5.11307714,1.0,1.0,0.0,1.044e-5,0.00016926
OGG,16.0,83630.0,3.63837434,1.0,0.35,0.00029915,0.00859493,0.00049842
OGN,1.0,1155.0,4.76997512,1.0,0.0,0.0,5.656e-5,7.487e-5
OGS,2.0,465.5,5.14570086,1.0,1.0,0.0,2.571e-5,0.00017943
OGX,7.0,1390.0,4.44512027,1.0,0.57142857,7.1e-7,0.00096701,0.00024699
OHD,3.0,804.0,3.81338126,1.0,1.0,0.0,0.00388258,9.458e-5
OHO,1.0,108.0,4.60989771,1.0,0.0,0.0,0.0001162,6.583e-5
OIM,1.0,1344.0,3.79983412,1.0,0.0,0.0,0.001336,6.63e-5
OIR,1.0,361.0,4.77301631,1.0,0.0,0.0,5.146e-5,7.381e-5
OIT,5.0,28020.0,3.71495715,1.0,0.9,1.0e-8,0.00384091,0.00016333
OKA,34.0,141975.0,3.64722145,1.0,0.24777184,0.00316306,0.00749267,0.00107711
OKC,12.0,57848.5,3.68813934,1.0,0.98484848,2.7e-7,0.01665991,0.00028075
OKE,3.0,1652.0,4.66132154,1.0,0.66666667,5.0e-8,0.00015128,0.00014008
OKI,2.0,896.0,3.91622892,1.0,1.0,0.0,0.00096073,9.535e-5
OKJ,9.0,12550.0,3.69670998,1.0,0.63888889,5.66e-6,0.00372927,0.00026389
OKR,5.0,251.0,4.46309096,1.0,0.4,0.00110278,8.854e-5,0.00030284
OKU,2.0,76.0,4.60934476,1.0,1.0,0.0,0.00013413,0.0001386
OLB,5.0,10672.5,3.76527509,1.0,1.0,0.0,0.00604603,0.00013013
OLF,2.0,399.5,4.90212884,1.0,1.0,0.0,8.639e-5,0.00013612
OLJ,2.0,38.0,6.06994747,1.0,1.0,0.0,3.5e-7,0.00016874
OLP,2.0,451.0,4.6328449,1.0,1.0,0.0,7.041e-5,0.00014982
OMA,19.0,62127.5,3.45147913,1.0,0.9005848,1.047e-5,0.02783579,0.00041755
OMB,1.0,38.0,5.5015206,1.0,0.0,0.0,5.21e-6,9.802e-5
OMD,2.0,152.0,4.42714957,1.0,0.0,8.05e-6,0.00021165,0.00012127
OME,18.0,4027.0,4.20431297,1.0,0.1372549,0.00743709,0.00029046,0.00105016
OMH,1.0,2147.0,4.20127177,1.0,0.0,0.0,0.00088185,6.733e-5
OMO,2.0,331.0,3.98755875,1.0,1.0,0.0,0.00281198,7.805e-5
OMR,3.0,423.0,4.26458391,1.0,0.66666667,5.0e-8,0.00118538,0.00012985
OMS,10.0,3657.0,3.60989771,1.0,0.33333333,5.268e-5,0.00837034,0.00026958
OND,2.0,171.0,4.60934476,1.0,1.0,0.0,0.00013413,0.0001386
ONG,3.0,198.0,5.46087918,1.0,0.33333333,0.00011805,1.69e-6,0.0002497
ONJ,2.0,3206.0,3.77688692,1.0,1.0,0.0,0.00224512,9.011e-5
ONP,2.0,279.0,4.24329555,1.0,1.0,0.0,0.00067253,0.00011114
ONT,20.0,98515.0,3.42991429,1.0,0.93157895,1.07e-6,0.02665794,0.00044589
ONX,1.0,1349.0,4.37849046,1.0,0.0,0.0,0.00038085,7.205e-5
OOK,3.0,312.0,5.19629527,1.0,0.33333333,0.00018427,5.28e-6,0.00024075
OOL,7.0,22661.0,4.16228919,1.0,0.66666667,6.584e-5,0.00066293,0.0003188
OOM,1.0,228.0,4.23527785,1.0,0.0,0.0,0.00029012,7.676e-5
OPB,2.0,27.0,5.73375726,1.0,1.0,0.0,5.8e-7,0.00016963
OPO,26.0,37100.0,3.33840199,1.0,0.56307692,0.00043891,0.03910402,0.0005546
OPS,3.0,435.0,5.0815593,1.0,0.0,0.0010766,1.93e-5,0.00026936
OPU,4.0,136.0,4.74398673,1.0,0.66666667,1.5e-7,3.14e-5,0.00026382
ORB,3.0,2912.0,3.89798175,1.0,1.0,0.0,0.00361591,0.00010962
ORF,18.0,53795.5,3.57837987,1.0,0.91503268,8.81e-6,0.02734732,0.00037331
ORH,3.0,2450.0,3.68288637,1.0,1.0,0.0,0.00660544,9.599e-5
ORK,9.0,16068.0,3.5214266,1.0,0.80555556,7.55e-6,0.01795126,0.00021469
ORL,86.0,388643.5,3.16533038,1.0,0.32393981,0.00466638,0.07950003,0.00178741
ORN,17.0,18235.5,3.67155101,1.0,0.32352941,0.00057774,0.00854672,0.00046343
ORT,2.0,16.0,5.89300525,1.0,1.0,0.0,4.8e-7,0.00020005
ORV,3.0,470.0,5.20486591,1.0,1.0,0.0,5.26e-6,0.00020504
ORW,3.0,88.0,4.41111418,1.0,1.0,0.0,0.00047135,0.0001268
ORX,1.0,27.0,6.89908764,1.0,0.0,0.0,4.0e-8,0.00012855
OSA,90.0,477169.5,2.91705834,1.0,0.13632959,0.02540529,0.05118422,0.00252051
OSD,2.0,5672.0,4.07243572,1.0,1.0,0.0,0.00156196,0.00010704
OSE,4.0,48.0,5.7323749,1.0,0.33333333,0.0002795,5.6e-7,0.00031676
OSH,2.0,456.0,3.80785181,1.0,0.0,0.00055294,0.0024521,0.00014955
OSK,2.0,825.0,4.07243572,1.0,1.0,0.0,0.00156092,0.00011502
OSL,59.0,256945.5,3.28670169,1.0,0.2554062,0.01997146,0.05767094,0.0015656
OSR,1.0,1951.5,4.23140724,1.0,0.0,0.0,0.00150781,5.883e-5
OSS,3.0,1404.0,3.87088748,1.0,1.0,0.0,0.002595,0.00010751
OSW,1.0,260.0,3.87807575,1.0,0.0,0.0,0.00207282,6.461e-5
OSY,4.0,962.0,4.89825823,1.0,0.83333333,5.0e-8,6.155e-5,0.0002076
OTD,2.0,399.0,4.37821399,1.0,1.0,0.0,0.00038774,0.00012547
OTH,1.0,999.0,4.24357202,1.0,0.0,0.0,0.00066059,6.394e-5
OTM,1.0,228.0,4.80370473,1.0,0.0,0.0,6.811e-5,8.414e-5
OTS,4.0,572.0,4.97622339,1.0,0.33333333,0.00036885,4.368e-5,0.00025114
OTZ,15.0,3629.0,4.20569533,1.0,0.14285714,0.00566657,0.00028575,0.00088149
OUA,12.0,6328.5,3.64860382,1.0,0.48484848,0.00037275,0.00744486,0.00033915
OUD,5.0,1650.0,3.60160354,1.0,0.9,7.0e-8,0.0102154,0.00013413
OUL,7.0,17268.5,4.02239425,1.0,0.52380952,8.32e-6,0.00287056,0.00025839
OVB,32.0,13115.0,3.39424938,1.0,0.29233871,0.00114797,0.01830765,0.00080968
OVD,6.0,13167.0,3.55985623,1.0,0.86666667,1.24e-6,0.01203288,0.00014681
OVR,2.0,304.0,4.10754769,1.0,0.0,0.00055294,0.00064459,0.0001738
OWB,3.0,442.0,4.27536633,1.0,1.0,0.0,0.00131472,0.00010933
OXB,7.0,1571.0,4.17666575,1.0,0.42857143,1.358e-5,0.00237634,0.00020875
OXR,1.0,1260.0,3.73182195,1.0,0.0,0.0,0.00181884,6.271e-5
OYA,2.0,95.0,5.10505944,1.0,1.0,0.0,1.323e-5,0.00015211
OYE,1.0,526.0,4.50456179,1.0,0.0,0.0,0.00026684,7.279e-5
OYG,2.0,21.0,4.53055018,1.0,1.0,0.0,0.00017336,0.00012976
OYK,1.0,144.0,5.53773846,1.0,0.0,0.0,1.92e-6,9.276e-5
OYO,1.0,190.0,5.10699475,1.0,0.0,0.0,1.166e-5,0.00010495
OYP,1.0,700.0,4.6627039,1.0,0.0,0.0,6.42e-5,8.134e-5
OZH,3.0,1022.0,3.79319878,1.0,1.0,0.0,0.00512524,0.00010347
OZZ,2.0,1281.0,3.68509815,1.0,1.0,0.0,0.00411086,8.171e-5
PAD,19.0,11760.5,3.60381532,1.0,0.67251462,1.47e-6,0.02097578,0.00034691
PAF,1.0,147.0,4.53082665,1.0,0.0,0.0,0.00017022,7.66e-5
PAH,4.0,1760.0,4.12662427,1.0,0.83333333,3.13e-6,0.0026725,0.00013164
PAJ,1.0,57.0,4.92258778,1.0,0.0,0.0,0.000127,6.963e-5
PAP,12.0,9655.5,3.62150954,1.0,0.25757576,0.00147711,0.00730671,0.00040491
PAR,250.0,1.0234245e6,2.68841581,1.0,0.08915663,0.09342038,0.1803367,0.00609169
PAS,1.0,198.0,4.04368261,1.0,0.0,0.0,0.00154001,6.45e-5
PAT,5.0,5526.0,4.11086536,1.0,0.5,0.00055356,0.00106714,0.00022777
PAX,2.0,609.0,4.61902129,1.0,1.0,0.0,0.0001345,0.00011321
PAZ,3.0,1178.0,4.14348908,1.0,0.66666667,8.0e-8,0.00099869,0.00012536
PBC,6.0,4781.0,3.90987006,1.0,0.93333333,5.9e-7,0.00515234,0.00016915
PBD,2.0,455.0,4.12247719,1.0,1.0,0.0,0.00078962,0.00011498
PBE,1.0,288.0,4.9950235,1.0,0.0,0.0,5.629e-5,7.966e-5
PBH,3.0,360.0,4.20376002,1.0,1.0,0.0,0.00092624,0.00012597
PBI,25.0,78863.5,3.5532209,1.0,0.71666667,8.689e-5,0.03251271,0.00051724
PBJ,2.0,76.0,6.07492397,1.0,0.0,8.0e-8,3.3e-7,0.00017057
PBM,6.0,4650.0,3.67901576,1.0,0.33333333,3.631e-5,0.005904,0.00018651
PBO,2.0,883.0,4.37047277,1.0,1.0,0.0,0.00016039,0.00013925
PBP,2.0,63.0,4.56345037,1.0,1.0,0.0,0.00031236,0.00013281
PBR,3.0,224.0,4.46143213,1.0,0.33333333,1.29e-6,0.00040034,0.00014478
PBU,1.0,255.0,6.60658004,1.0,0.0,0.0,6.0e-8,0.00011431
PBZ,1.0,224.0,4.01327067,1.0,0.0,0.0,0.00100137,7.01e-5
PCA,1.0,8.0,5.20928947,1.0,0.0,0.0,5.05e-6,0.00011334
PCH,2.0,348.0,5.80232237,1.0,1.0,0.0,8.53e-6,0.0001658
PCL,2.0,3550.0,4.28006635,1.0,1.0,0.0,0.0004302,0.0001204
PCP,1.0,76.0,5.33397844,1.0,0.0,0.0,1.093e-5,9.215e-5
PDB,2.0,24.0,5.21454244,1.0,1.0,0.0,5.04e-6,0.00019809
PDG,5.0,3097.0,3.91927011,1.0,0.5,3.03e-5,0.00122807,0.00020161
PDI,2.0,32.0,6.72629251,1.0,0.0,0.00055294,1.0e-8,0.0002682
PDL,8.0,6876.0,3.93475256,1.0,0.25,0.00113936,0.00387966,0.00032945
PDP,2.0,1602.0,4.1064418,1.0,1.0,0.0,0.00070227,0.00010706
PDS,1.0,432.0,4.69118054,1.0,0.0,0.0,0.00024321,6.354e-5
PDT,2.0,1258.0,4.24301908,1.0,1.0,0.0,0.00071198,9.441e-5
PDX,45.0,207143.0,3.24384849,1.0,0.38282828,0.00407408,0.0371916,0.00119264
PEC,1.0,48.0,4.90821122,1.0,0.0,0.0,2.6e-5,0.00010869
PEE,8.0,2940.0,3.86121095,1.0,0.85714286,4.9e-7,0.00446736,0.00021328
PEG,1.0,608.0,3.88775228,1.0,0.0,0.0,0.00230883,5.939e-5
PEI,4.0,7520.5,4.26320155,1.0,1.0,0.0,0.00061221,0.00019068
PEM,1.0,1098.0,5.27702516,1.0,0.0,0.0,8.34e-6,9.398e-5
PEN,14.0,37892.0,3.54658557,1.0,0.53846154,0.00011754,0.00810478,0.00039878
PER,44.0,72698.5,3.37130218,1.0,0.12156448,0.02066862,0.00886256,0.00208589
PES,2.0,150.0,4.13021841,1.0,0.0,1.7e-6,0.00114902,0.00011391
PET,2.0,150.0,5.01133536,1.0,1.0,0.0,4.62e-5,0.00013664
