Index,Degree,Strength,ASPL,LSPL,Clust Coeff,Betweeness,Eigenvector,PageRank
AAA,2.0,92.0,4.51700304,1.0,1.0,0.0,8.966e-5,0.00014614
AAE,6.0,7284.0,3.6776334,1.0,0.73333333,6.389e-5,0.00591853,0.00018338
AAL,3.0,13071.0,3.910423,1.0,1.0,0.0,0.00332087,0.00010462
AAN,11.0,3224.5,3.92784075,1.0,0.67272727,1.012e-5,0.0069863,0.00027764
AAQ,10.0,1690.0,3.81006359,1.0,0.33333333,2.003e-5,0.00656959,0.0002747
AAR,6.0,11653.0,3.60077412,1.0,0.93333333,2.0e-8,0.00911095,0.00016614
AAT,1.0,28.5,4.6826099,1.0,0.0,0.0,0.00012477,6.949e-5
AAU,1.0,38.0,5.63201548,1.0,0.0,0.0,8.6e-7,0.00010724
AAY,4.0,646.0,4.51783246,1.0,0.83333333,6.0e-8,0.0005958,0.00014285
ABA,1.0,164.0,4.87254631,1.0,0.0,0.0,6.84e-5,6.974e-5
ABD,4.0,2918.0,3.95604092,1.0,0.83333333,3.03e-6,0.00238341,0.00013988
ABE,14.0,21783.0,3.64583909,1.0,0.92307692,2.27e-6,0.02075742,0.00029788
ABI,3.0,2582.0,3.93226431,1.0,1.0,0.0,0.00354365,0.00011331
ABJ,28.0,25044.5,3.46640863,1.0,0.35449735,0.00095033,0.02445302,0.00070175
ABK,3.0,250.0,5.42825546,1.0,1.0,0.0,7.84e-6,0.00020639
ABL,4.0,278.0,5.19214819,1.0,0.66666667,2.75e-6,6.29e-6,0.00025321
ABM,3.0,268.0,4.46447332,1.0,0.33333333,0.00027576,8.996e-5,0.00020213
ABQ,36.0,105678.0,3.42300249,1.0,0.34126984,0.00418884,0.02899152,0.00102828
ABR,3.0,2958.0,4.04644733,1.0,0.33333333,0.00055294,0.00142822,0.00018434
ABS,1.0,4391.0,4.66215095,1.0,0.0,0.0,9.179e-5,7.653e-5
ABT,2.0,2210.0,4.09068289,1.0,1.0,0.0,0.00173044,8.445e-5
ABV,3.0,3253.0,3.7074924,1.0,0.66666667,8.556e-5,0.00366467,0.00013348
ABX,5.0,3935.0,4.21371302,1.0,0.6,5.7e-6,0.00046365,0.00023589
ABY,1.0,1410.0,3.91595245,1.0,0.0,0.0,0.0021665,6.008e-5
ABZ,22.0,32727.5,3.58363284,1.0,0.28138528,0.00374792,0.01469414,0.00058963
ACA,8.0,13579.0,3.90157589,1.0,0.67857143,4.419e-5,0.0063752,0.00021568
ACC,24.0,16868.5,3.3602433,1.0,0.31884058,0.00073384,0.02415604,0.00057456
ACE,38.0,27079.5,3.53110312,1.0,0.47510669,5.577e-5,0.04139522,0.00067203
ACH,1.0,1300.0,3.98894111,1.0,0.0,0.0,0.00211695,5.853e-5
ACI,3.0,907.5,4.50732651,1.0,1.0,0.0,0.00084469,0.00010087
ACK,6.0,3841.0,3.7025159,1.0,0.6,0.00046284,0.00511901,0.00019245
ACT,4.0,2406.0,3.93198784,1.0,0.83333333,5.0e-8,0.00360663,0.00014458
ACV,5.0,3987.0,3.86342273,1.0,0.6,2.55e-6,0.00266096,0.00017377
ADA,7.0,10704.0,3.63339784,1.0,0.71428571,1.317e-5,0.0106939,0.00018467
ADD,37.0,16197.5,3.43406138,1.0,0.15615616,0.01701774,0.01904992,0.00136925
ADE,14.0,4865.0,3.90959359,1.0,0.48351648,0.00013189,0.00812564,0.00037728
ADF,1.0,158.0,4.48963229,1.0,0.0,0.0,0.00061373,6.888e-5
ADH,2.0,320.0,4.86508156,1.0,1.0,0.0,9.61e-5,0.00010005
ADK,1.0,96.0,5.21260713,1.0,0.0,0.0,5.22e-6,0.00011467
ADL,24.0,60967.0,3.63339784,1.0,0.17028986,0.00658288,0.00389358,0.00125678
ADQ,1.0,3071.0,4.21730716,1.0,0.0,0.0,0.00027824,8.605e-5
ADU,1.0,1077.0,4.20127177,1.0,0.0,0.0,0.00088185,6.733e-5
ADZ,6.0,5033.0,4.21868952,1.0,0.73333333,8.46e-6,0.00100658,0.00025511
AER,12.0,3175.0,3.87337573,1.0,0.54545455,1.48e-6,0.00541809,0.00030198
AES,4.0,15724.0,4.28366049,1.0,1.0,0.0,0.00133046,0.00015942
AET,4.0,210.0,4.89576998,1.0,0.66666667,1.5e-7,2.719e-5,0.000278
AEX,5.0,4124.0,3.92701134,1.0,0.7,2.87e-6,0.00473283,0.00015159
AEY,6.0,2998.0,4.32264307,1.0,0.26666667,0.0013819,0.00049748,0.00039873
AFA,2.0,777.0,4.10782416,1.0,1.0,0.0,0.00065625,0.0001274
AFL,1.0,150.0,6.08128283,1.0,0.0,0.0,3.4e-7,0.00011673
AFT,1.0,9.0,5.28531933,1.0,0.0,0.0,4.19e-6,0.00010874
AGA,12.0,7813.5,3.59911529,1.0,0.5,0.00061857,0.01905245,0.00028438
AGE,1.0,56.0,6.37544927,1.0,0.0,0.0,4.5e-7,0.00014307
AGF,2.0,480.0,3.68786287,1.0,1.0,0.0,0.00326102,0.00010794
AGH,3.0,7254.0,3.89798175,1.0,1.0,0.0,0.00361591,0.00010962
AGJ,1.0,392.0,4.64694498,1.0,0.0,0.0,0.00013308,6.837e-5
AGL,3.0,111.0,4.74260437,1.0,0.33333333,0.00055157,3.03e-5,0.00023151
AGN,2.0,168.0,4.90793475,1.0,1.0,0.0,2.647e-5,0.00018995
AGP,47.0,68862.5,3.40033177,1.0,0.49398705,0.00085634,0.06190632,0.00091869
AGR,3.0,1956.0,4.11998894,1.0,0.33333333,0.00022617,0.00085472,0.00013961
AGS,2.0,7153.0,3.91180536,1.0,1.0,0.0,0.00356339,7.899e-5
AGT,2.0,1648.0,4.09842411,1.0,1.0,0.0,0.00097428,0.00010873
AGU,7.0,7678.0,3.66546862,1.0,0.76190476,5.76e-6,0.00512863,0.00019228
AHB,7.0,16245.0,4.08625933,1.0,0.66666667,0.00019324,0.00224594,0.00021568
AHE,2.0,184.0,4.51700304,1.0,1.0,0.0,8.964e-5,0.00014516
AHN,1.0,342.0,4.1562068,1.0,0.0,0.0,0.00139689,6.037e-5
AHO,9.0,9734.0,3.60077412,1.0,0.72222222,2.2e-7,0.01274455,0.00019921
AHS,2.0,57.0,5.80232237,1.0,1.0,0.0,8.53e-6,0.0001658
AHU,3.0,199.0,3.7044512,1.0,0.66666667,3.334e-5,0.00397132,0.00011872
AIA,2.0,342.0,4.1860658,1.0,1.0,0.0,0.00124398,0.00011583
AIC,2.0,38.0,5.10284766,1.0,1.0,0.0,9.98e-6,0.00017852
AIM,1.0,19.0,6.10229472,1.0,0.0,0.0,1.7e-7,0.0001382
AIN,3.0,399.0,5.20016588,1.0,1.0,0.0,5.61e-6,0.00021595
AIR,2.0,54.0,6.08294166,1.0,1.0,0.0,3.6e-7,0.0001895
AIT,1.0,288.0,4.62759193,1.0,0.0,0.0,4.901e-5,9.33e-5
AIU,2.0,96.0,4.62731545,1.0,1.0,0.0,4.992e-5,0.00015824
AIY,9.0,8903.0,4.03815317,1.0,0.72222222,3.3e-7,0.00812214,0.0001988
AJA,5.0,7791.5,3.6845452,1.0,0.8,5.0e-8,0.00644021,0.00013515
AJF,8.0,3146.0,4.08874758,1.0,0.71428571,0.00016255,0.00203642,0.00024211
AJI,1.0,267.0,4.48963229,1.0,0.0,0.0,0.00061373,6.888e-5
AJL,2.0,714.0,4.38429638,1.0,1.0,0.0,0.00020591,0.0001137
AJR,2.0,600.0,4.07243572,1.0,1.0,0.0,0.00156092,0.00011502
AJU,5.0,11357.0,4.32430191,1.0,0.6,1.827e-5,0.00060541,0.00019178
AKA,1.0,150.0,4.62040365,1.0,0.0,0.0,0.00014904,6.145e-5
AKB,1.0,16.0,5.21371302,1.0,0.0,0.0,5.04e-6,0.00012137
AKF,1.0,468.0,4.66298037,1.0,0.0,0.0,0.00028632,6.531e-5
AKG,2.0,228.0,7.73348079,1.0,0.0,4.6e-7,0.0,0.00023898
AKI,2.0,195.0,6.19518938,1.0,0.0,1.5e-7,9.0e-8,0.00021588
AKJ,3.0,12194.0,3.77605751,1.0,0.66666667,1.0e-8,0.00266774,0.00011357
AKL,44.0,130494.0,3.2526956,1.0,0.17230444,0.0195526,0.01154285,0.00180565
AKN,6.0,1079.0,4.21011888,1.0,0.13333333,0.00276646,0.00028869,0.00052479
AKP,3.0,179.0,4.89604645,1.0,1.0,0.0,2.673e-5,0.00021211
AKS,1.0,206.0,5.28531933,1.0,0.0,0.0,4.19e-6,0.00010874
AKU,1.0,38.0,5.68067459,1.0,0.0,0.0,2.22e-6,0.00012185
AKV,2.0,300.0,6.0447885,1.0,0.0,0.0002762,4.1e-7,0.00020188
AKX,1.0,200.0,4.28614874,1.0,0.0,0.0,0.00047475,6.397e-5
AKY,3.0,823.0,4.61432126,1.0,1.0,0.0,9.938e-5,0.00016903
ALA,29.0,16207.0,3.28642521,1.0,0.30788177,0.00284894,0.02672875,0.0007696
ALB,23.0,49537.0,3.57146807,1.0,0.73913043,0.00033824,0.02804633,0.00046798
ALC,35.0,37603.5,3.48244401,1.0,0.63529412,9.083e-5,0.05017461,0.00065818
ALF,6.0,4263.0,5.26928394,1.0,0.6,0.00032213,2.26e-5,0.00031981
ALG,56.0,59255.5,3.44760852,1.0,0.19350649,0.01042056,0.04145374,0.00151808
ALH,2.0,800.0,4.37074924,1.0,1.0,0.0,0.00016026,0.00014258
ALJ,1.0,60.0,6.42576721,1.0,0.0,0.0,7.0e-8,0.00014198
ALM,2.0,456.0,4.42244954,1.0,1.0,0.0,0.00052425,0.00011423
ALO,4.0,3103.0,3.78490462,1.0,0.5,0.00030188,0.00521721,0.00014625
ALP,15.0,6972.0,3.49682057,1.0,0.81904762,2.27e-6,0.02772122,0.00032135
ALS,1.0,361.0,4.18634227,1.0,0.0,0.0,0.00122189,6.659e-5
ALW,2.0,1184.0,3.98037047,1.0,1.0,0.0,0.00119321,9.691e-5
AMA,5.0,16119.0,3.88747581,1.0,1.0,0.0,0.00643822,0.00014949
AMD,9.0,13646.0,4.01852364,1.0,0.52777778,9.69e-6,0.00322306,0.00027567
AMH,2.0,72.0,4.43323196,1.0,0.0,0.00055294,0.00033847,0.00017058
AMI,6.0,3552.0,3.9184407,1.0,0.4,0.00061733,0.00115099,0.00028466
AMM,50.0,38564.0,3.33453138,1.0,0.42285714,0.00082923,0.05745692,0.00105696
AMQ,2.0,722.5,4.91014653,1.0,1.0,0.0,2.543e-5,0.00012995
AMS,192.0,481335.0,2.73209842,1.0,0.14283377,0.04049213,0.17150222,0.00397053
AMV,1.0,40.0,5.870611,1.0,0.0,0.0,9.7e-7,0.00012112
AMY,2.0,57.0,4.58529168,1.0,0.0,0.00054971,0.00010499,0.00014142
ANC,39.0,69539.0,3.21758363,1.0,0.07962213,0.08152333,0.01566496,0.00203128
ANE,1.0,171.0,4.54658557,1.0,0.0,0.0,0.00038028,6.355e-5
ANF,5.0,23297.5,4.49377938,1.0,0.5,8.4e-7,0.00033995,0.00026199
ANG,1.0,171.0,4.54658557,1.0,0.0,0.0,0.00038028,6.355e-5
ANI,9.0,587.0,4.20956594,1.0,0.08333333,0.00551459,0.00028429,0.00068057
ANK,44.0,47582.0,3.48990876,1.0,0.17970402,0.00619573,0.03455318,0.00142653
ANM,5.0,234.0,4.58501521,1.0,0.7,8.139e-5,0.00011411,0.00025242
ANR,3.0,3238.0,3.61376832,1.0,1.0,0.0,0.00807129,9.35e-5
ANU,21.0,14597.0,3.39341996,1.0,0.38571429,0.00078583,0.01638336,0.0005124
ANV,2.0,97.0,6.20735416,1.0,0.0,1.5e-7,9.0e-8,0.00022039
ANX,4.0,1147.0,5.26900746,1.0,0.66666667,1.39e-6,4.292e-5,0.00023625
AOI,4.0,6707.0,3.59054465,1.0,1.0,0.0,0.01056678,0.00011256
AOJ,7.0,23237.0,3.71329831,1.0,0.95238095,1.0e-8,0.00422693,0.00021121
AOK,3.0,429.0,4.03842964,1.0,0.33333333,0.00055294,0.00194324,0.00015719
AOL,1.0,95.0,4.10810064,1.0,0.0,0.0,0.00064439,7.526e-5
AOO,4.0,1260.0,4.14653027,1.0,0.5,2.3e-7,0.00149792,0.00019226
AOR,1.0,3912.0,4.00663533,1.0,0.0,0.0,0.00090243,6.701e-5
AOT,4.0,448.0,3.65993918,1.0,0.83333333,3.22e-6,0.00625614,0.00011908
APF,4.0,1766.5,3.98037047,1.0,1.0,0.0,0.00428905,0.00011891
APL,5.0,1205.0,4.7771634,1.0,0.5,1.117e-5,0.00012458,0.00024632
APN,2.0,1428.0,4.00552944,1.0,0.0,0.00055294,0.00165129,0.00014882
APO,2.0,1326.0,4.99474703,1.0,1.0,0.0,6.786e-5,0.000119
APW,6.0,3550.5,3.64805087,1.0,0.4,0.00110743,0.00216052,0.00030659
AQG,2.0,340.0,3.95465856,1.0,1.0,0.0,0.0014035,8.253e-5
AQI,4.0,1815.0,4.089577,1.0,0.33333333,0.00055474,0.00174652,0.00018439
AQJ,5.0,2206.5,3.61072712,1.0,0.7,2.3e-7,0.01026586,0.00013381
AQP,4.0,14911.0,4.27896046,1.0,0.33333333,0.0005531,0.00044399,0.00025082
ARC,3.0,110.0,5.8935582,1.0,1.0,0.0,1.45e-6,0.0002032
ARH,4.0,2264.0,3.87171689,1.0,0.5,0.00110558,0.0030894,0.00019843
ARI,2.0,5968.0,4.99419408,1.0,0.0,2.9e-7,4.764e-5,0.00012239
ARK,5.0,725.5,4.5781034,1.0,0.4,0.00055374,0.00016644,0.00026192
ARM,5.0,2749.0,4.18495991,1.0,0.5,0.00069739,0.00048312,0.00026219
ARP,2.0,38.0,6.7343102,1.0,1.0,0.0,1.0e-8,0.00019246
ARR,1.0,15.0,6.09759469,1.0,0.0,0.0,2.3e-7,0.00012449
ART,3.0,684.0,4.1462538,1.0,0.33333333,0.00110558,0.00142171,0.00021503
ARU,3.0,2376.0,4.09676528,1.0,0.66666667,5.1e-7,0.00097437,0.00015411
ARW,2.0,738.0,4.20210119,1.0,0.0,6.0e-8,0.00262149,7.696e-5
ASA,1.0,200.0,4.9731822,1.0,0.0,0.0,5.924e-5,7.086e-5
ASB,15.0,7067.5,3.40364943,1.0,0.4952381,0.00012273,0.01856978,0.00036271
ASD,2.0,210.0,4.34807852,1.0,1.0,0.0,0.00049889,0.00012181
ASE,2.0,4214.0,4.13713022,1.0,1.0,0.0,0.00249275,8.71e-5
ASF,1.0,118.0,4.26513685,1.0,0.0,0.0,0.00113555,6.115e-5
ASI,2.0,1200.0,7.48106165,1.0,0.0,0.00055294,1.0e-8,0.00026522
ASJ,7.0,9065.0,3.77273984,1.0,0.42857143,0.00048013,0.00248895,0.00027058
ASM,7.0,3474.0,3.97345867,1.0,0.52380952,0.00055491,0.00333503,0.00024226
ASO,4.0,236.0,5.42797899,1.0,0.33333333,1.63e-6,1.271e-5,0.00027825
ASP,9.0,9190.0,4.10257119,1.0,0.47222222,0.00062669,0.00082423,0.00044094
ASR,1.0,2100.0,3.98175283,1.0,0.0,0.0,0.00190637,6.16e-5
ASU,8.0,7478.5,4.02156483,1.0,0.42857143,0.00115218,0.0020838,0.000365
ASV,1.0,126.0,4.39535527,1.0,0.0,0.0,0.00046989,6.957e-5
ASW,4.0,15315.0,3.66242743,1.0,0.5,0.00055294,0.00516768,0.00016533
ATC,1.0,150.0,4.34835499,1.0,0.0,0.0,0.00049003,7.0e-5
ATD,1.0,9.0,5.28531933,1.0,0.0,0.0,4.19e-6,0.00010874
ATH,95.0,182107.0,3.04395908,1.0,0.20918253,0.01649081,0.08670358,0.00258075
ATK,3.0,345.0,5.20016588,1.0,1.0,0.0,5.61e-6,0.00021595
ATL,172.0,1.129605e6,2.91622892,1.0,0.1378349,0.02489618,0.12197559,0.00377999
ATM,2.0,1425.0,4.970141,1.0,1.0,0.0,4.443e-5,0.00013262
ATN,3.0,850.0,5.73265137,1.0,0.66666667,1.08e-6,1.13e-6,0.00022189
ATP,2.0,228.0,6.7343102,1.0,0.0,0.00055302,1.0e-8,0.00021689
ATQ,5.0,2275.0,4.05640033,1.0,0.6,4.07e-6,0.00221052,0.00016456
ATT,2.0,132.0,5.19657174,1.0,0.0,0.0002764,5.18e-6,0.00018567
ATW,9.0,12181.0,3.76389273,1.0,0.75,1.15e-6,0.0084622,0.00022868
ATY,1.0,884.0,5.04617086,1.0,0.0,0.0,2.537e-5,9.351e-5
ATZ,3.0,394.0,4.04423555,1.0,0.66666667,1.2e-7,0.00199092,0.00011816
AUA,23.0,28667.0,3.40088471,1.0,0.38339921,0.00095701,0.01944597,0.00061661
AUC,1.0,156.0,4.26679569,1.0,0.0,0.0,0.00049531,7.201e-5
AUG,2.0,456.0,4.04810617,1.0,1.0,0.0,0.00158717,0.00010188
AUH,61.0,74375.5,3.17749516,1.0,0.29836066,0.00416841,0.05192476,0.00141428
AUK,4.0,156.0,5.19574233,1.0,0.5,4.13e-6,1.06e-5,0.00027062
AUL,1.0,18.0,5.10312414,1.0,0.0,0.0,9.8e-6,0.00010759
AUP,3.0,38.0,6.73403373,1.0,0.33333333,0.00027647,1.0e-8,0.00028199
AUQ,2.0,212.5,4.51700304,1.0,1.0,0.0,8.964e-5,0.00014516
AUR,1.0,300.0,3.68813934,1.0,0.0,0.0,0.0032031,6.212e-5
AUS,33.0,116937.5,3.43267902,1.0,0.60606061,0.00019447,0.03755707,0.00070614
AUU,1.0,36.0,4.46557921,1.0,0.0,0.0,8.831e-5,8.418e-5
AUV,2.0,99.0,6.72767487,1.0,1.0,0.0,2.0e-8,0.00016401
AUW,6.0,4616.5,3.7721869,1.0,1.0,0.0,0.00663807,0.00016118
AUX,1.0,300.0,6.0666298,1.0,0.0,0.0,7.0e-7,9.329e-5
AUY,2.0,27.0,6.07437103,1.0,1.0,0.0,3.3e-7,0.00016297
AVI,7.0,1403.0,3.54409732,1.0,0.85714286,5.15e-6,0.01261855,0.00018798
AVK,2.0,100.0,4.62316837,1.0,1.0,0.0,0.00010175,0.00015234
AVL,5.0,9312.5,3.90406414,1.0,1.0,0.0,0.00647174,0.00013079
AVN,1.0,1744.0,3.68813934,1.0,0.0,0.0,0.0032031,6.212e-5
AVP,10.0,9145.0,3.75808681,1.0,0.68888889,2.393e-5,0.01127823,0.00022884
AWD,3.0,28.0,6.07409455,1.0,0.66666667,8.0e-8,6.6e-7,0.0002191
AWZ,6.0,7204.0,3.95106442,1.0,0.93333333,3.03e-6,0.00316429,0.00018717
AXA,7.0,2591.0,4.1960188,1.0,0.71428571,5.3e-7,0.00184902,0.00020563
AXD,1.0,4646.0,4.04368261,1.0,0.0,0.0,0.00154001,6.45e-5
AXK,1.0,236.0,4.51893835,1.0,0.0,0.0,0.00034201,6.42e-5
AXM,2.0,2287.0,4.26486038,1.0,1.0,0.0,0.0005516,0.00011021
AXP,2.0,100.0,4.34807852,1.0,1.0,0.0,0.00049889,0.00012181
AXT,4.0,19357.0,3.77578103,1.0,0.83333333,1.0e-8,0.0028332,0.00013836
AXU,2.0,500.0,5.43074371,1.0,0.0,1.3e-7,1.226e-5,0.00015047
AYP,2.0,720.0,4.28006635,1.0,1.0,0.0,0.00042992,0.00012686
AYQ,4.0,5557.0,4.11528891,1.0,0.83333333,1.041e-5,0.00055049,0.00020161
AYT,27.0,28226.0,3.38761404,1.0,0.55840456,0.00016315,0.03894435,0.00053365
AZB,2.0,76.0,4.74205142,1.0,1.0,0.0,3.033e-5,0.00015229
AZD,2.0,2450.0,4.20016588,1.0,1.0,0.0,0.00095035,9.521e-5
AZN,3.0,1952.0,3.86342273,1.0,0.66666667,1.7e-7,0.0029362,0.0001093
AZO,6.0,10723.0,3.75808681,1.0,1.0,0.0,0.0096781,0.00015398
AZR,7.0,1506.0,4.44512027,1.0,0.57142857,0.00055307,0.00095703,0.00027152
BAH,43.0,64870.5,3.18523638,1.0,0.48283499,0.00121258,0.04445061,0.00096788
BAK,29.0,13110.0,3.47746751,1.0,0.33004926,0.00064484,0.02446766,0.00067882
BAL,1.0,693.0,4.48963229,1.0,0.0,0.0,0.00061373,6.888e-5
BAQ,12.0,14356.0,3.99751175,1.0,0.45454545,0.00010926,0.00281169,0.00046833
BAS,3.0,38.0,6.28200166,1.0,0.66666667,8.0e-8,8.0e-8,0.00026681
BAU,4.0,3960.0,4.09897705,1.0,0.66666667,1.3e-7,0.0010036,0.0001823
BAV,4.0,2385.0,3.95908211,1.0,0.5,8.35e-5,0.00191408,0.0001378
BAX,4.0,1832.0,3.87669339,1.0,0.5,2.2e-7,0.00315362,0.00014877
BAY,3.0,234.0,4.26458391,1.0,0.66666667,5.0e-8,0.00118112,0.00013007
BBA,1.0,2541.0,5.48631463,1.0,0.0,0.0,6.31e-6,8.612e-5
BBI,6.0,3488.0,4.07188278,1.0,0.6,1.533e-5,0.00188264,0.00021014
BBK,1.0,147.0,5.00940006,1.0,0.0,0.0,2.095e-5,8.774e-5
BBM,1.0,350.0,4.61432126,1.0,0.0,0.0,0.00010062,7.453e-5
BBN,2.0,152.0,4.99419408,1.0,1.0,0.0,2.03e-5,0.00014035
BBO,6.0,936.0,3.97594692,1.0,0.46666667,0.00048606,0.0024626,0.00023665
BCA,2.0,96.0,4.19657174,1.0,1.0,0.0,0.00095261,9.101e-5
BCD,2.0,9466.5,4.11998894,1.0,1.0,0.0,0.00053558,0.000111
BCI,3.0,90.0,4.33701963,1.0,1.0,0.0,0.00019385,0.0001816
BCL,1.0,63.0,4.56372685,1.0,0.0,0.0,0.00030681,7.621e-5
BCM,1.0,204.0,4.37931988,1.0,0.0,0.0,0.00044335,6.168e-5
BCN,80.0,289105.0,3.27398396,1.0,0.32848101,0.0019323,0.08919432,0.00158248
BCO,1.0,36.0,5.43295549,1.0,0.0,0.0,6.01e-6,0.00011394
BCP,2.0,38.0,6.72573956,1.0,0.0,2.36e-6,1.0e-8,0.00021463
BDA,8.0,12671.5,3.45064971,1.0,1.0,0.0,0.01612972,0.00018889
BDB,5.0,1613.0,4.33674316,1.0,0.5,3.6e-7,0.00022571,0.00025455
BDD,2.0,177.0,6.45839093,1.0,1.0,0.0,6.0e-8,0.00016928
BDH,3.0,666.0,4.940282,1.0,1.0,0.0,0.00016767,0.00012129
BDJ,8.0,4619.5,4.42051424,1.0,0.28571429,0.00118256,0.0003093,0.00041849
BDO,2.0,614.5,4.70555709,1.0,0.0,1.0e-7,6.68e-5,0.00011334
BDQ,3.0,3878.0,4.08211225,1.0,1.0,0.0,0.00163978,0.00011513
BDS,2.0,8558.0,3.76610451,1.0,1.0,0.0,0.00455927,7.787e-5
BDU,4.0,4236.0,4.27896046,1.0,1.0,0.0,0.00108643,0.00018835
BEB,3.0,851.0,4.35996682,1.0,0.66666667,8.0e-8,0.00063419,0.00013754
BED,4.0,4950.0,3.70002765,1.0,1.0,0.0,0.00579052,0.00011164
BEG,33.0,16134.0,3.41885541,1.0,0.6344697,0.00083937,0.05305291,0.00071164
BEI,2.0,90.0,5.42991429,1.0,1.0,0.0,6.46e-6,0.00015311
BEJ,3.0,648.0,5.90212884,1.0,0.66666667,8.9e-7,9.4e-7,0.00024768
BEL,16.0,25352.0,3.97262925,1.0,0.18333333,0.00487832,0.00238206,0.00071109
BEN,16.0,7064.0,3.66325684,1.0,0.45833333,0.00134932,0.01611975,0.00044985
BER,89.0,182219.0,3.33701963,1.0,0.32252298,0.0016308,0.09582866,0.00170262
BES,4.0,10006.5,3.68592756,1.0,1.0,0.0,0.0050489,0.000117
BET,30.0,4996.0,4.19740116,1.0,0.03908046,0.01678747,0.00029159,0.00213154
BEU,2.0,76.0,6.3173901,1.0,0.0,0.00032761,9.0e-8,0.00022249
BEW,8.0,3188.5,3.92397014,1.0,0.35714286,0.00143292,0.00238485,0.00033058
BEY,43.0,38421.5,3.30107824,1.0,0.5503876,0.00026255,0.05727896,0.00088183
BFD,1.0,608.0,4.14735969,1.0,0.0,0.0,0.0014208,6.162e-5
BFF,1.0,494.0,4.18634227,1.0,0.0,0.0,0.00122189,6.659e-5
BFL,4.0,6869.0,3.70113354,1.0,1.0,0.0,0.00579596,0.00012195
BFN,4.0,3804.0,4.00801769,1.0,1.0,0.0,0.0012701,0.00017015
BFQ,2.0,57.0,4.37821399,1.0,1.0,0.0,0.00038774,0.00012547
BFS,18.0,56586.0,3.60630357,1.0,0.4379085,5.251e-5,0.0131587,0.00039109
BFV,1.0,462.0,3.9582527,1.0,0.0,0.0,0.0011726,6.697e-5
BGA,6.0,8310.0,4.26292508,1.0,0.66666667,5.1e-7,0.00063364,0.00026508
BGF,5.0,1751.0,4.4586674,1.0,0.5,1.224e-5,0.0005702,0.00019152
BGI,16.0,28551.0,3.42244954,1.0,0.475,0.00036501,0.01529552,0.00039427
BGM,9.0,6287.0,3.6527509,1.0,0.80555556,6.04e-6,0.01172543,0.00021096
BGO,18.0,72490.0,3.57036218,1.0,0.25490196,0.00141785,0.01264049,0.00059446
BGR,8.0,7481.0,3.68178048,1.0,0.60714286,3.518e-5,0.00940204,0.00021572
BHB,2.0,513.0,4.04810617,1.0,1.0,0.0,0.00158717,0.00010188
BHE,3.0,2407.0,4.24993088,1.0,1.0,0.0,0.00029873,0.00015168
BHG,2.0,57.0,5.80232237,1.0,1.0,0.0,8.53e-6,0.0001658
BHH,3.0,1938.0,4.09040641,1.0,1.0,0.0,0.00176173,0.0001178
BHI,4.0,4451.0,4.10478297,1.0,0.66666667,3.7e-7,0.00068261,0.0002049
BHJ,2.0,1561.0,4.12247719,1.0,1.0,0.0,0.00078962,0.00011498
BHK,2.0,1357.0,3.8636992,1.0,1.0,0.0,0.00278753,8.642e-5
BHM,26.0,59791.0,3.57036218,1.0,0.75076923,1.896e-5,0.03203594,0.00052067
BHO,4.0,2716.0,4.08183578,1.0,0.66666667,2.03e-6,0.001626,0.00016685
BHQ,2.0,539.0,4.6278684,1.0,0.0,7.75e-6,7.474e-5,0.00013999
BHR,1.0,95.0,4.54769146,1.0,0.0,0.0,0.00023739,7.202e-5
BHS,3.0,726.0,4.23472491,1.0,1.0,0.0,0.00030111,0.00017217
BHU,1.0,1138.0,4.12275366,1.0,0.0,0.0,0.00077559,6.61e-5
BHV,3.0,396.0,4.16228919,1.0,1.0,0.0,0.0010478,0.00012585
BHX,50.0,84307.5,3.29444291,1.0,0.43836735,0.00054572,0.06668973,0.00095344
BHY,7.0,5016.5,4.30024882,1.0,0.9047619,1.0e-7,0.00098923,0.00017411
BHZ,17.0,47199.5,4.08542991,1.0,0.26470588,0.00065574,0.00170458,0.00066694
BIA,5.0,7475.5,3.6845452,1.0,0.8,5.0e-8,0.00644021,0.00013515
BII,2.0,38.0,6.09676528,1.0,1.0,0.0,1.9e-7,0.00017933
BIK,3.0,1823.0,4.90904064,1.0,0.66666667,0.00055229,2.504e-5,0.00020949
BIL,13.0,13294.0,3.90268178,1.0,0.29487179,0.00361816,0.0047776,0.00055721
BIM,2.0,357.0,4.01216478,1.0,1.0,0.0,0.00215439,9.059e-5
BIN,1.0,48.0,4.75670445,1.0,0.0,0.0,0.00018106,6.434e-5
BIO,23.0,37977.0,3.50096765,1.0,0.5770751,9.418e-5,0.03028973,0.00044993
BIQ,4.0,9529.5,3.5781034,1.0,1.0,0.0,0.0082144,0.00012124
BIR,1.0,1365.0,4.54769146,1.0,0.0,0.0,0.00023739,7.202e-5
BIS,3.0,4554.0,4.03068842,1.0,0.33333333,0.00025877,0.0026053,0.00014174
BIU,1.0,152.0,4.32485485,1.0,0.0,0.0,0.0004795,7.235e-5
BIW,2.0,5.0,7.32679016,1.0,0.0,7.6e-7,0.0,0.00021935
BJA,5.0,3159.5,3.67818634,1.0,0.7,4.664e-5,0.0057715,0.00015123
BJB,1.0,150.0,4.20127177,1.0,0.0,0.0,0.00088185,6.733e-5
BJF,5.0,1073.0,6.26624274,1.0,0.6,4.5e-7,1.61e-6,0.00027668
