Index,network,μ,β,p
268,Barabasi-Albert_50_600_9_1.net,0.9,0.62,0.526097515758249
270,Barabasi-Albert_50_600_9_1.net,0.9,0.64,0.5263477938450122
272,Barabasi-Albert_50_600_9_1.net,0.9,0.66,0.5265962180200208
274,Barabasi-Albert_50_600_9_1.net,0.9,0.68,0.5262476826103081
276,Barabasi-Albert_50_600_9_1.net,0.9,0.7,0.5264200964034107
278,Barabasi-Albert_50_600_9_1.net,0.9,0.72,0.5264367816091959
280,Barabasi-Albert_50_600_9_1.net,0.9,0.74,0.5262495365220611
282,Barabasi-Albert_50_600_9_1.net,0.9,0.76,0.5265090841675932
284,Barabasi-Albert_50_600_9_1.net,0.9,0.78,0.5264330737856878
286,Barabasi-Albert_50_600_9_1.net,0.9,0.8,0.5266314423433437
288,Barabasi-Albert_50_600_9_1.net,0.9,0.82,0.5263403781979965
290,Barabasi-Albert_50_600_9_1.net,0.9,0.84,0.5265776789024842
292,Barabasi-Albert_50_600_9_1.net,0.9,0.86,0.5268539117538001
294,Barabasi-Albert_50_600_9_1.net,0.9,0.88,0.5266314423433439
296,Barabasi-Albert_50_600_9_1.net,0.9,0.9,0.5264163885799038
298,Barabasi-Albert_50_600_9_1.net,0.9,0.92,0.5266314423433444
300,Barabasi-Albert_50_600_9_1.net,0.9,0.94,0.5267853170189102
302,Barabasi-Albert_50_600_9_1.net,0.9,0.96,0.5261679644048931
304,Barabasi-Albert_50_600_9_1.net,0.9,0.98,0.526700037078235
306,Barabasi-Albert_50_600_9_1.net,0.9,1.0,0.5265387467556545
