Index,network,μ,β,p
112,ER_500_07.net,0.5,0.08,0.6694831460674155
113,ER_500_05.net,0.9,0.2,0.5282247191011238
114,ER_N500_k6.net,0.1,0.74,0.906982504334512
115,ER_500_05.net,0.9,0.24,0.5280674157303373
116,ER_500_07.net,0.5,0.12,0.6682696629213484
117,ER_N500_k6.net,0.1,0.76,0.9067348179505083
118,ER_500_07.net,0.5,0.14,0.6690112359550561
119,ER_500_05.net,0.9,0.32,0.5277078651685395
120,ER_N500_k6.net,0.1,0.78,0.9079507329265273
121,ER_500_05.net,0.9,0.36,0.5275730337078652
122,ER_500_07.net,0.5,0.18,0.6697977528089887
123,ER_N500_k6.net,0.1,0.8,0.9082209362545318
124,ER_500_07.net,0.5,0.2,0.6690337078651685
125,ER_500_05.net,0.9,0.44,0.5281573033707865
126,ER_N500_k6.net,0.1,0.82,0.9086262412465377
127,ER_500_05.net,0.9,0.48,0.5286966292134833
128,ER_500_07.net,0.5,0.24,0.6666966292134835
129,ER_N500_k6.net,0.1,0.84,0.9076129787665222
130,ER_500_07.net,0.5,0.26,0.6675505617977526
131,ER_500_05.net,0.9,0.56,0.527370786516854
132,ER_N500_k6.net,0.1,0.86,0.9072752246065167
133,ER_500_05.net,0.9,0.6,0.5281348314606739
134,ER_500_07.net,0.5,0.3,0.6689213483146068
135,ER_N500_k6.net,0.1,0.88,0.9067348179505079
136,ER_500_07.net,0.5,0.32,0.6672359550561799
137,ER_500_05.net,0.9,0.68,0.5279101123595507
138,ER_N500_k6.net,0.1,0.9,0.9074103262705183
139,ER_500_05.net,0.9,0.72,0.5282696629213481
140,ER_500_07.net,0.5,0.36,0.6688988764044943
141,ER_N500_k6.net,0.1,0.92,0.9081083515345293
142,ER_500_07.net,0.5,0.38,0.6656179775280898
143,ER_500_05.net,0.9,0.8,0.5263146067415732
144,ER_N500_k6.net,0.1,0.94,0.9087163090225393
145,ER_500_05.net,0.9,0.84,0.5292134831460676
146,ER_500_07.net,0.5,0.42,0.6693932584269661
147,ER_N500_k6.net,0.1,0.96,0.9090990970705457
148,ER_500_07.net,0.5,0.44,0.6668089887640449
149,ER_500_05.net,0.9,0.92,0.528067415730337
150,ER_N500_k6.net,0.1,0.98,0.9083335209745335
151,ER_500_05.net,0.9,0.96,0.5291685393258428
152,ER_500_07.net,0.5,0.48,0.6691011235955056
153,ER_N500_k6.net,0.1,1.0,0.9077255634865239
154,ER_500_07.net,0.5,0.5,0.666629213483146
156,ER_N500_k6.net,0.5,0.0,0.002206660512035306
158,ER_500_07.net,0.5,0.54,0.6696179775280897
159,ER_N500_k6.net,0.5,0.02,0.18123888225889984
