,Network,size,degree/prob,mu,rho
0,WS,750,2,0.1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.046176, 0.3260944, 0.45228346666666674, 0.537348, 0.5925343999999999, 0.6391829333333334, 0.6731823999999998, 0.7048704000000001, 0.7271597333333334, 0.7461394666666665, 0.7621482666666667, 0.7777498666666667, 0.7898981333333335, 0.8009631999999999, 0.8102592, 0.8181477333333332, 0.8262130666666667, 0.832441866666667, 0.8388968, 0.8447893333333334, 0.8503895999999999, 0.8543885333333331, 0.8591552, 0.8633277333333335, 0.8654119999999998, 0.8742216, 0.8714754666666668, 0.8739941333333334, 0.8763933333333332, 0.8811245333333335, 0.881256, 0.8831581333333334, 0.8849866666666667, 0.8870722666666666, 0.8918896000000001, 0.8958456000000001, 0.8912546666666666, 0.8987293333333334, 0.8948946666666667, 0.9010967999999999, 0.9022024000000001, 0.9030485333333335, 0.9040920000000001, 0.9047093333333334, 0.8998183999999999, 0.9064594666666668]"
1,WS,750,2,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0051776, 0.09387653333333335, 0.1728205333333333, 0.2272597333333333, 0.27480079999999996, 0.31518986666666665, 0.3472312, 0.37555706666666666, 0.3995773333333334, 0.4214184, 0.4423032, 0.4598808, 0.4769781333333333, 0.49112266666666665, 0.5056077333333333, 0.5183504000000001, 0.5300442666666667, 0.5403245333333334, 0.5494898666666667, 0.5589592, 0.5678306666666667, 0.5749610666666667, 0.5826351999999999, 0.5891258666666667, 0.5953423999999999, 0.6016733333333333, 0.6070314666666666, 0.6114389333333333, 0.6165050666666666, 0.6204544000000001, 0.6248077333333333, 0.6287365333333333]"
2,WS,750,2,0.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002110666666666667, 0.023629333333333332, 0.12046133333333332, 0.16909226666666666, 0.2150405333333333, 0.24658239999999998, 0.2750493333333333, 0.30096639999999997, 0.3230239999999999, 0.3430919999999999, 0.3596658666666667, 0.37634453333333334, 0.39095013333333334, 0.4051789333333333, 0.41703226666666665, 0.42787280000000005, 0.43808213333333335, 0.4472274666666667, 0.45522293333333347, 0.46319653333333344, 0.46996293333333333, 0.47646373333333336, 0.48233786666666667, 0.48790026666666664, 0.49281040000000004, 0.49724880000000005]"
