,Network,size,degree/prob,mu,rho
0,BA,750,2,0.1,"[0.0, 0.10142266666666666, 0.35128933333333334, 0.5046266666666667, 0.5980506666666667, 0.6597746666666667, 0.70518, 0.7381826666666667, 0.7627933333333333, 0.7850373333333334, 0.7994813333333333, 0.8134933333333333, 0.8247626666666668, 0.834576, 0.8425253333333333, 0.8497746666666666, 0.8550919999999997, 0.8596226666666666, 0.8665426666666667, 0.8694533333333334, 0.8741853333333335, 0.8773479999999999, 0.8799853333333333, 0.8831306666666666, 0.8855066666666668, 0.8872813333333331, 0.8900466666666667, 0.8909760000000002, 0.8937586666666666, 0.8947906666666665, 0.8964026666666667, 0.8978680000000001, 0.8986453333333333, 0.9001800000000001, 0.9009226666666666, 0.9018146666666667, 0.9021039999999999, 0.9036413333333332, 0.903928, 0.9047533333333332, 0.9057039999999998, 0.9061653333333334, 0.906096, 0.9068786666666666, 0.9071786666666668, 0.9077626666666665, 0.9082893333333335, 0.9078586666666668, 0.9091506666666669, 0.9085573333333332, 0.9085226666666667]"
1,BA,750,2,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.099256, 0.15202666666666667, 0.19923333333333332, 0.24434533333333333, 0.2820586666666667, 0.31829066666666667, 0.3510013333333333, 0.37657999999999997, 0.4034, 0.4264093333333333, 0.44586799999999993, 0.46381733333333336, 0.48042000000000007, 0.4953639999999999, 0.5097213333333335, 0.5221386666666668, 0.531756, 0.5430773333333333, 0.55194, 0.5597679999999998, 0.5683666666666667, 0.5757066666666666, 0.5834386666666667, 0.5886946666666667, 0.594016, 0.5993386666666666, 0.60476, 0.6088306666666667, 0.6139226666666666, 0.6185080000000001, 0.6205506666666667, 0.6250173333333333, 0.6288306666666668, 0.6306400000000001, 0.6337919999999999, 0.6366573333333333, 0.6385426666666667, 0.6400546666666667, 0.6428506666666668, 0.64456, 0.6461426666666668, 0.6484786666666666, 0.6501786666666667, 0.6513946666666666, 0.6533840000000002, 0.6540453333333331]"
2,BA,750,2,0.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.079332, 0.10595466666666667, 0.1352866666666667, 0.16128933333333334, 0.18763866666666668, 0.21227866666666664, 0.23523999999999998, 0.256544, 0.275424, 0.29467466666666675, 0.31056666666666666, 0.32705599999999996, 0.34210799999999997, 0.35584533333333335, 0.3687026666666666, 0.3804106666666667, 0.3913106666666667, 0.40113733333333335, 0.41116933333333333, 0.41957733333333336, 0.427844, 0.43534533333333325, 0.4421213333333334, 0.4491080000000001, 0.4551293333333334, 0.46113600000000005, 0.46664133333333335, 0.4714826666666666, 0.4761426666666667, 0.48044266666666663, 0.48412533333333335, 0.488084, 0.4916946666666668, 0.49510933333333335, 0.4976733333333333, 0.500788, 0.502908, 0.5055719999999999, 0.5079773333333334, 0.5099226666666665, 0.5116653333333332, 0.5135373333333334, 0.5150426666666666]"
