,Network,size,degree/prob,mu,rho
0,BA,100,2,0.1,"[0.0, 0.0, 0.3428960000000001, 0.5028159999999999, 0.6003040000000001, 0.6659520000000001, 0.7076159999999999, 0.737088, 0.7606320000000001, 0.7833279999999999, 0.7983199999999999, 0.81144, 0.8245999999999999, 0.8346560000000001, 0.842816, 0.8532159999999999, 0.8517039999999999, 0.862, 0.8685200000000001, 0.871208, 0.874376, 0.879176, 0.88048, 0.882872, 0.8862479999999999, 0.8886, 0.8888799999999999, 0.8922559999999998, 0.8944239999999999, 0.8951520000000001, 0.897424, 0.8983919999999999, 0.897656, 0.90096, 0.902192, 0.9026719999999999, 0.9020639999999999, 0.9016639999999999, 0.9057679999999999, 0.9047360000000002, 0.9051680000000001, 0.907, 0.9063359999999999, 0.9059919999999999, 0.9079919999999998, 0.9062879999999999, 0.907128, 0.906464, 0.9084720000000001, 0.9094399999999999, 0.9071039999999999]"
1,BA,100,2,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015599999999999998, 0.23391999999999996, 0.27469600000000005, 0.31520000000000004, 0.342928, 0.37301599999999996, 0.39884800000000004, 0.4243200000000001, 0.444624, 0.4620239999999999, 0.47851999999999995, 0.49322399999999994, 0.5067440000000001, 0.520576, 0.5320560000000001, 0.5406, 0.5512400000000001, 0.560024, 0.570608, 0.575248, 0.584712, 0.589528, 0.59428, 0.60012, 0.603504, 0.609768, 0.613864, 0.617568, 0.621976, 0.62268, 0.6268159999999999, 0.631128, 0.632864, 0.635504, 0.6369600000000001, 0.64004, 0.64268, 0.646176, 0.6463519999999999, 0.6480800000000001, 0.652256, 0.65172, 0.652352, 0.6527279999999999]"
2,BA,100,2,0.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035544, 0.026648, 0.204472, 0.22741599999999998, 0.251464, 0.26896000000000003, 0.291728, 0.312368, 0.325328, 0.33853600000000006, 0.353416, 0.36857599999999996, 0.38041600000000003, 0.390624, 0.39916, 0.41231200000000007, 0.418936, 0.426168, 0.436464, 0.443696, 0.44846400000000003, 0.4550640000000001, 0.4612879999999999, 0.46595200000000003, 0.471352, 0.476152, 0.480736, 0.48438400000000004, 0.48756, 0.49123999999999995, 0.4947039999999999, 0.4978, 0.5005519999999999, 0.503432, 0.505024, 0.5074160000000001, 0.510152, 0.511944, 0.513288, 0.514576]"
