,Network,size,degree/prob,mu,rho(line)
0,BA,500,2,0.1,"[0.0, 0.032578, 0.355398, 0.5059800000000001, 0.600188, 0.65845, 0.7055659999999999, 0.7404419999999998, 0.7630560000000001, 0.7799980000000001, 0.797238, 0.8122539999999999, 0.8231360000000001, 0.8325380000000001, 0.8415739999999999, 0.84785, 0.8553839999999999, 0.8610279999999999, 0.8632460000000002, 0.868966, 0.87361, 0.8765939999999999, 0.8806720000000002, 0.883456, 0.8849560000000001, 0.88758, 0.8891439999999999, 0.890754, 0.892938, 0.8950060000000001, 0.89578, 0.8966900000000002, 0.89778, 0.9002200000000002, 0.9006080000000001, 0.9016000000000002, 0.9032399999999999, 0.9035460000000001, 0.90385, 0.905306, 0.905388, 0.9066239999999999, 0.906546, 0.906576, 0.907564, 0.9078140000000001, 0.907822, 0.90822, 0.907758, 0.9089960000000001, 0.908896]"
1,BA,500,2,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.099632, 0.153092, 0.20208000000000004, 0.24307599999999993, 0.28458400000000006, 0.31695399999999996, 0.350534, 0.377344, 0.4028820000000001, 0.426516, 0.446638, 0.4627980000000001, 0.47968, 0.49417, 0.50796, 0.51954, 0.5318840000000001, 0.540116, 0.5509980000000001, 0.5589660000000001, 0.5665819999999999, 0.5754300000000001, 0.5817, 0.5873320000000001, 0.5931960000000001, 0.5989880000000001, 0.60342, 0.6091139999999998, 0.6125780000000001, 0.617176, 0.621076, 0.62495, 0.6276780000000001, 0.6293599999999999, 0.6336600000000001, 0.636118, 0.6382500000000001, 0.6404699999999999, 0.643108, 0.644624, 0.646096, 0.647852, 0.6491420000000001, 0.6510800000000001, 0.652776, 0.65288]"
2,BA,500,2,0.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.082922, 0.10947199999999999, 0.13652, 0.164658, 0.188566, 0.212744, 0.23464199999999996, 0.256398, 0.276612, 0.29489, 0.310242, 0.32643200000000006, 0.34226200000000007, 0.35540199999999994, 0.36738400000000004, 0.38030200000000003, 0.389858, 0.40147400000000005, 0.41009599999999996, 0.4181660000000001, 0.4278219999999999, 0.43429799999999996, 0.4415, 0.448468, 0.4549480000000001, 0.460062, 0.465662, 0.471156, 0.4753779999999999, 0.47963400000000006, 0.483728, 0.48741400000000007, 0.4910660000000001, 0.494028, 0.49706600000000006, 0.50015, 0.5025640000000001, 0.505384, 0.507386, 0.5096419999999999, 0.511256, 0.51291, 0.514866]"
