,Network,size,degree/prob,mu,rho(line)
0,BA,500,5,0.1,"[0.0, 0.45136400000000004, 0.6665, 0.751816, 0.799282, 0.827488, 0.8454400000000002, 0.8585459999999999, 0.869322, 0.8765099999999999, 0.8811920000000001, 0.8868739999999999, 0.8910560000000001, 0.8934140000000002, 0.8952959999999999, 0.898174, 0.8997360000000001, 0.9007439999999999, 0.9024000000000001, 0.9033619999999999, 0.904974, 0.9049240000000001, 0.9058280000000002, 0.9065579999999999, 0.9069120000000002, 0.907634, 0.908622, 0.9079879999999999, 0.9078579999999998, 0.9084920000000001, 0.9088419999999999, 0.9082380000000001, 0.9089, 0.9090320000000001, 0.9093440000000002, 0.9091159999999998, 0.9084740000000002, 0.9087059999999999, 0.9096080000000001, 0.9089900000000002, 0.9089960000000001, 0.9095039999999999, 0.9091359999999999, 0.909074, 0.9094779999999998, 0.9090020000000001, 0.9098580000000001, 0.9090659999999998, 0.909308, 0.9088800000000001, 0.9094260000000001]"
1,BA,500,5,0.5,"[0.0, 0.0, 0.018243999999999996, 0.217056, 0.31127200000000005, 0.381712, 0.43420999999999993, 0.472716, 0.5058420000000001, 0.530094, 0.549832, 0.567128, 0.580352, 0.5914599999999999, 0.601492, 0.6104199999999999, 0.6176320000000001, 0.624068, 0.62953, 0.632902, 0.6372720000000001, 0.64157, 0.6439, 0.6459419999999999, 0.64852, 0.652094, 0.6527860000000001, 0.6544200000000001, 0.656134, 0.657674, 0.658892, 0.659676, 0.6608160000000001, 0.6608799999999999, 0.6623460000000001, 0.662162, 0.6631180000000001, 0.6642760000000001, 0.6643239999999999, 0.6649739999999998, 0.66558, 0.665474, 0.665934, 0.6650659999999999, 0.665324, 0.666234, 0.6655559999999999, 0.6661560000000001, 0.6666199999999999, 0.6663280000000003, 0.6662939999999999]"
2,BA,500,5,0.9,"[0.0, 0.0, 0.0, 0.0, 0.11557600000000001, 0.177026, 0.22913199999999997, 0.27204799999999996, 0.307944, 0.3369379999999999, 0.361892, 0.383602, 0.40099799999999997, 0.417586, 0.42974200000000007, 0.4410800000000001, 0.451958, 0.460678, 0.46886600000000006, 0.47474999999999995, 0.48086599999999996, 0.485832, 0.49028, 0.4944319999999999, 0.497934, 0.5009279999999999, 0.5036940000000001, 0.506202, 0.508732, 0.510034, 0.511858, 0.513396, 0.5153840000000001, 0.51604, 0.517272, 0.5179440000000001, 0.519068, 0.5198760000000001, 0.5202839999999999, 0.5208600000000001, 0.5216759999999999, 0.5221600000000001, 0.522258, 0.523274, 0.5234400000000001, 0.523738, 0.52405, 0.524526, 0.524668, 0.5249540000000001, 0.525034]"
