,Network,size,degree/prob,mu,rho
0,WS,500,4,0.1,"[0.0, 0.0, 0.2477588, 0.5040363999999999, 0.6230203999999999, 0.6947436, 0.7390539999999999, 0.7710268000000002, 0.7951947999999999, 0.8127596000000001, 0.8277116, 0.839088, 0.8486739999999999, 0.8568776, 0.8634756, 0.8689984, 0.8739083999999999, 0.8782108000000001, 0.8815284000000001, 0.885204, 0.8879140000000001, 0.8903032000000001, 0.8921047999999999, 0.8944996000000002, 0.8960356, 0.8977068, 0.8992336000000002, 0.9002084, 0.9014112000000002, 0.9022420000000002, 0.9030452000000002, 0.903682, 0.9046692000000002, 0.905254, 0.9060567999999999, 0.9059604, 0.9065660000000001, 0.9070404000000001, 0.907034, 0.9076812000000003, 0.9078592000000001, 0.9082468000000001, 0.9084080000000001, 0.9085692000000002, 0.9084687999999999, 0.9087664000000001, 0.9087308000000001, 0.9088744, 0.9088356000000001, 0.9090924, 0.9092072]"
1,WS,500,4,0.5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20054520000000003, 0.2689536, 0.325666, 0.3721340000000001, 0.40991800000000006, 0.44116999999999995, 0.4681408, 0.4893772, 0.5084788, 0.526208, 0.5406312000000001, 0.5537943999999999, 0.5645144000000001, 0.5747112, 0.5839135999999999, 0.5912327999999999, 0.5992027999999999, 0.6058372000000001, 0.6108612, 0.6165512000000001, 0.6211632, 0.6256572, 0.6294676, 0.6331528, 0.6358204, 0.6388020000000001, 0.6414676, 0.6441476, 0.6460908000000001, 0.6480012, 0.6494648000000001, 0.651366, 0.6527948000000001, 0.6535916000000002, 0.6554432000000001, 0.6563327999999999, 0.6576796, 0.6586748, 0.6591584, 0.6601412000000001, 0.6607804, 0.6617780000000002]"
2,WS,500,4,0.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12061759999999999, 0.1713072, 0.21491679999999996, 0.2536896, 0.2860128, 0.3131332, 0.3369487999999999, 0.35792, 0.3759224, 0.39206320000000006, 0.4056864000000001, 0.41875679999999993, 0.42980759999999996, 0.439936, 0.44858519999999996, 0.45640240000000004, 0.4637588, 0.4698804, 0.4752672, 0.4803264, 0.48483599999999993, 0.4890448, 0.4925887999999999, 0.496004, 0.4991868000000001, 0.5017503999999999, 0.504056, 0.5061760000000001, 0.5083312000000001, 0.5101252000000001, 0.5118676000000001, 0.5133228000000001, 0.5148064000000001, 0.5160536, 0.5171855999999999, 0.518258, 0.5191868000000001, 0.5201043999999999]"
